Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
50,CCAFS,Hispasat 30W-6,,GTO,Thales-Alenia,Success,F9 B4,Success,6 March 2018,05:33
51,VAFB,Iridium NEXT,,Polar,Iridium Communications,Success,F9 B4B1041.2,Not attempted,30 March 2018,14:14
52,CCAFS,SpaceX CRS-14,,LEO,SES,Success,F9 B4B1039.2,Not attempted,2 April 2018,20:30
53,CCAFS,Transiting Exoplanet Survey Satellite,,HEO,NASA,Success,F9 B4,Not attempted,18 April 2018,22:51
54,KSC,Bangabandhu-1,,GTO,Telesat,Success,F9 B5B1046.1,Success,11 May 2018,20:14
55,VAFB,Iridium NEXT,,Polar,Iridium Communications,Success,F9 B4B1043.2,Success,22 May 2018,19:47
56,CCAFS,SES-12,,GTO,Telkom Indonesia,Success,F9 B4B1040.2,Success,4 June 2018,04:45
57,CCAFS,SpaceX CRS-15,,LEO,Telesat,Success,F9 B4B1045.2,Success,29 June 2018,09:42
58,CCAFS,Telstar 19V,,GTO,CONAE,Success,F9 B5,Success,22 July 2018,05:50
59,VAFB,Iridium NEXT,,Polar,Es'hailSat,Success,F9 B5B1048,Success,25 July 2018,11:39
60,CCAFS,Merah Putih,,GTO,Spaceflight Industries,Success,F9 B5B1046.2,Success,7 August 2018,05:18
61,CCAFS,Telstar 18V,,GTO,NASA,"Success
",F9 B5,Failure,10 September 2018,04:45
62,VAFB,SAOCOM 1A,,SSO,USAF,Success,F9 B5B1048.2,Not attempted,8 October 2018,02:22
63,KSC,Es'hail 2,,GTO,Iridium Communications,"Success
",F9 B5B1047.2,Success,15 November 2018,20:46
64,VAFB,SSO-A,,SSO,PSN,"Success
",F9 B5B1046.3,Success,3 December 2018,18:34:05
65,CCAFS,SpaceX CRS-16,,LEO,NASA,"Success
",F9 B5,Success,5 December 2018,18:16
66,CCAFS,GPS III,,MEO,NASA,"Success
",F9 B5,Success,23 December 2018,13:51
67,VAFB,Iridium NEXT,,Polar,SpaceX,"Success
",F9 B5B1049.2,Success,11 January 2019,15:31
68,CCAFS,Nusantara Satu,,GTO,Canadian Space Agency,"Success
",F9 B5B1048.3,Success,22 February 2019,01:45
69,KSC,Crew Dragon Demo-1,,LEO,NASA,"Success
",F9 B5[268],Success,2 March 2019,07:49
70,CCAFS,SpaceX CRS-17,,LEO,Spacecom,"Success
",F9 B5,Not attempted,4 May 2019,06:48
71,CCAFS,Starlink,,LEO,SpaceX,"Success
",F9 B5B1049.3,Success,24 May 2019,02:30
72,VAFB,RADARSAT Constellation,,SSO,NASA,"Success
",F9 B5B1051.2,Success,12 June 2019,14:17
73,CCAFS,SpaceX CRS-18,,LEO,Sky Perfect JSAT,"Success
",F9 B5B1056.2,Success,25 July 2019,22:01
74,CCAFS,AMOS-17,,GTO,SpaceX,"Success
",F9 B5B1047.3,Success,6 August 2019,23:23
75,CCAFS,Starlink,,LEO,NASA,"Success
",F9 B5,"Not attempted
",11 November 2019,14:56
76,CCAFS,SpaceX CRS-19,,LEO,SpaceX,"Success
",F9 B5,Success,5 December 2019,17:29
77,CCAFS,JCSat-18,,GTO,SpaceX,"Success
",F9 B5B1056.3,Failure,17 December 2019,00:10
78,CCAFS,Starlink,,LEO,NASA,"Success
",F9 B5,Success,7 January 2020,02:19:21
79,KSC,Crew Dragon in-flight abort test,,Sub-orbital,SpaceX,"Success
",F9 B5,Failure,19 January 2020,15:30
80,CCAFS,Starlink,,LEO,SpaceX,"Success
",F9 B5,Success,29 January 2020,14:07
81,CCAFS,Starlink,,LEO,NASA,"Success
",F9 B5,Success,17 February 2020,15:05
82,CCAFS,SpaceX CRS-20,,LEO,SpaceX,"Success
",F9 B5,Success,7 March 2020,04:50
83,KSC,Starlink,,LEO,SpaceX,"Success
",F9 B5,Success,18 March 2020,12:16
84,KSC,Starlink,,LEO,U.S. Space Force,"Success
",F9 B5,Success,22 April 2020,19:30
85,KSC,Crew Dragon Demo-2,,LEO,Republic of Korea Army,"Success
",F9 B5,Success,30 May 2020,19:22
86,CCAFS,Starlink,,LEO,SpaceX,"Success
",F9 B5,Success,4 June 2020,01:25
87,CCAFS,Starlink,,LEO,SpaceX,"Success
",F9 B5,Success,13 June 2020,09:21
88,CCAFS,GPS III,,MEO,CONAE,"Success
",F9 B5,Success,30 June 2020,20:10:46
89,CCAFS,ANASIS-II,,GTO,SpaceX,"Success
",F9 B5B1058.2,Success,20 July 2020,21:30
90,KSC,Starlink,,LEO,SpaceX,"Success
",F9 B5,Success,7 August 2020,05:12
91,CCAFS,Starlink,,LEO,SpaceX,"Success
",F9 B5B1049.6,Success,18 August 2020,14:31
92,CCAFS,SAOCOM 1B,,SSO,SpaceX,"Success
",F9 B5,Success,30 August 2020,23:18
93,KSC,Starlink,,LEO,USSF,"Success
",F9 B5B1060.2,Success,3 September 2020,12:46:14
94,KSC,Starlink,,LEO,NASA,"Success
",F9 B5B1058.3,Success,6 October 2020,11:29:34
95,KSC,Starlink,,LEO,NASA,"Success
",F9 B5B1051.6,Success,18 October 2020,12:25:57
96,CCAFS,Starlink,,LEO,SpaceX,"Success
",F9 B5,Success,24 October 2020,15:31:34
97,CCAFS,GPS III,,MEO,NASA,"Success
",F9 B5,Success,5 November 2020,23:24:23
98,KSC,Crew-1,,LEO,Sirius XM,"Success
",F9 B5,Success,16 November 2020,00:27
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),,LEO,NRO,"Success
",F9 B5,Success,21 November 2020,17:17:08
100,CCAFS,Starlink,,LEO,Türksat,"Success
",F9 B5 ♺,Success,25 November 2020,02:13
101,KSC,SpaceX CRS-21,,LEO,SpaceX,"Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
102,CCSFS,SXM-7,,GTO,,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
103,KSC,NROL-108,,LEO,SpaceX,"Success
",F9 B5 ♺,Success,19 December 2020,14:00:00
104,CCSFS,Türksat 5A,,GTO,SpaceX,"Success
",F9 B5,Failure,8 January 2021,02:15
105,KSC,Starlink,,LEO,SpaceX,"Success
",F9 B5B1051.8,Success,20 January 2021,13:02
106,CCSFS,Transporter-1,,SSO,SpaceX,"Success
",F9 B5B1058.5,Success,24 January 2021,15:00
107,CCSFS,Starlink,,LEO,SpaceX,"Success
",F9 B5 ♺,Success,4 February 2021,06:19
108,CCSFS,Starlink,,LEO,SpaceX,"Success
",F9 B5 ♺,Success,16 February 2021,03:59:37
109,KSC,Starlink,,LEO,SpaceX,"Success
",F9 B5 ♺,Success,4 March 2021,08:24
110,CCSFS,Starlink,,LEO,NASA,"Success
",F9 B5 ♺,Success,11 March 2021,08:13:29
111,KSC,Starlink,,LEO,SpaceX,"Success
",F9 B5 ♺,Success,14 March 2021,10:01
112,CCSFS,Starlink,,LEO,SpaceX,"Success
",F9 B5B1060.6,Success,24 March 2021,08:28
113,CCSFS,Starlink,,LEO,SpaceX,"Success
",F9 B5 ♺,Success,7 April 2021,16:34
114,KSC,Crew-2,,LEO,SpaceX,"Success
",F9 B5B1061.2,Success,23 April 2021,9:49
115,CCSFS,Starlink,,LEO,SpaceX,"Success
",F9 B5B1060.7,Success,29 April 2021,03:44
116,KSC,Starlink,,LEO,NASA,"Success
",F9 B5B1049.9,Success,4 May 2021,19:01
117,CCSFS,Starlink,,LEO,Sirius XM,"Success
",F9 B5B1051.10,Success,9 May 2021,06:42
118,KSC,Starlink,,LEO,,,F9 B5B1058.8,,15 May 2021,22:56
119,CCSFS,Starlink,,LEO,,,F9 B5B1063.2,,26 May 2021,18:59
120,KSC,SpaceX CRS-22,,LEO,,,F9 B5B1067.1,,3 June 2021,17:29
121,CCSFS,SXM-8,,GTO,,,F9 B5,,6 June 2021,04:26
